,Unnamed: 0,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err,TS_1.0e+03,ns_1.0e+03,p_1.0e+03,TS_1.7e+05,ns_1.7e+05,p_1.7e+05,TS_steady,ns_steady,p_steady,ra_steady,dec_steady,gamma_steady
24,24,1306178,120186,15.48,343.78,0.49,56070.63865189075,GFU,BRONZE,3.92,9.4,0.0,0.0,1.0,1.4159914569561627,1.6938991170285567,0.2728,1.3747322278071152,33.33476312314486,0.93575,6.028232941966007,0.25870452755193707,4.5437739383566145
25,25,73761892,120205,22.87,176.48,0.416,56076.54294700876,GFU,BRONZE,4.470000000000001,12.57,0.0,0.0,1.0,1.3450917950994867,0.9795881138012588,0.3572,7.768066649418639,35.57051676026154,0.1955,3.104921708523841,0.4047265321462897,2.798596095352455
26,26,21476686,120244,14.79,119.31,0.395,56079.30557152734,GFU,BRONZE,1.35,2.94,0.0,0.0,1.0,6.119642547248647,1.8909275417977858,0.0128,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
27,27,65493286,120260,36.38,152.58,0.385,56083.65455898678,GFU,BRONZE,3.01,4.31,0.0,0.0,1.0,0.0,0.0,1.0,4.269515703929386,7.469802052216095,0.19725,2.66926857887349,0.6347662284956086,2.0206969879433125
28,28,20451977,120309,-15.09,39.95,0.244,56089.36416964872,GFU,BRONZE,0.5,0.52,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
29,29,24248640,120535,1.42,330.07,0.744,56146.20714663897,GFU,GOLD,1.05,1.66,0.0,0.0,1.0,0.0,0.0,1.0,0.477599222528732,17.67236342249149,0.57425,5.7554959133642,0.026044610781370305,4.718302120737318
30,30,12284754,120680,3.88,182.24,0.438,56186.30530486623,GFU,GOLD,1.49,3.0700000000000003,0.0,0.0,1.0,3.375077994860476e-14,0.0,0.25,0.8110150381369738,29.385221960703127,0.5325,3.1673444870831804,0.07331053409823392,3.5424897347909026
31,31,53550535,120708,19.79,70.62,0.426,56192.54933227013,EHE,GOLD,1.62,2.76,0.0,0.0,1.0,0.0,0.0,1.0,2.5153066296536695,22.815734017151474,0.2535,1.2266354630549636,0.34782428851312985,3.110103372194676
32,32,20915945,120798,-2.28,205.14,0.842,56211.77094169458,GFU,GOLD,1.08,1.36,0.0,0.0,1.0,1.8815288392285328,0.9181002373266012,0.052,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
33,33,64513030,120860,27.91,169.8,0.926,56226.59949621974,GFU,GOLD,1.73,2.73,0.0,0.0,1.0,0.0,0.0,1.0,7.535419999260691,55.28776679895853,0.03125,2.9662059282196043,0.47763781831125796,4.327179321535522
34,34,64276946,120884,6.05,123.18,0.276,56234.5075207242,GFU,BRONZE,1.2000000000000002,1.89,0.0,0.0,1.0,4.607704414122899,2.974075030877478,0.0144,3.633735382852368,55.597728361604126,0.13375,2.1657335137647724,0.11003338971901086,3.5196635617310643
